gene_id,disease_id,source_gwas_year,source_gwas_gene,hop
64682,D015212,2017,51343,1
64764,D015212,2012,5579,1
64768,D015212,2012,253430,1
64781,D015212,2015,2581,1
66008,D015212,2020,2562,1
79092,D015212,2012,5579,1
79132,D015212,2015,64135,1
79153,D015212,2015,5321,1
79369,D015212,2010,2524,1
79444,D015212,2012,4790,1
79603,D015212,2015,2581,1
79799,D015212,2013,8854,1
79823,D015212,2016,9739,1
79837,D015212,2017,5336,1
79888,D015212,2015,5321,1
79923,D015212,2008,6774,1
80271,D015212,2012,253430,1
81490,D015212,2015,5321,1
81537,D015212,2015,2581,1
81579,D015212,2012,9415,1
81616,D015212,2016,2194,1
81631,D015212,2007,55054,1
83439,D015212,2017,896,1
83452,D015212,2007,55054,1
83593,D015212,2008,6789,1
83737,D015212,2015,4851,1
84133,D015212,2012,84870,1
84245,D015212,2008,144811,1
84284,D015212,2012,114,1
84335,D015212,2016,6198,1
84433,D015212,2012,5579,1
84539,D015212,2016,2776,1
84557,D015212,2007,55054,1
84618,D015212,2008,144811,1
84634,D015212,2016,2776,1
84647,D015212,2012,9415,1
84699,D015212,2012,5579,1
84812,D015212,2012,253430,1
85465,D015212,2015,5321,1
89832,D015212,2012,3717,1
89869,D015212,2012,253430,1
90993,D015212,2012,5579,1
91012,D015212,2015,2581,1
91662,D015212,2012,4790,1
91860,D015212,2012,114,1
93034,D015212,2008,144811,1
93589,D015212,2015,10125,1
94235,D015212,2012,5579,1
112398,D015212,2012,5579,1
112399,D015212,2012,5579,1
112724,D015212,2013,8854,1
112744,D015212,2008,6774,1
113026,D015212,2012,253430,1
113451,D015212,2016,4843,1
113612,D015212,2015,5321,1
113878,D015212,2015,4851,1
114548,D015212,2007,345611,1
115727,D015212,2010,781,1
117157,D015212,2010,51744,1
118471,D015212,2016,6794,1
119504,D015212,2017,51343,1
122618,D015212,2015,5321,1
122809,D015212,2008,6774,1
123099,D015212,2015,2581,1
123745,D015212,2011,2768,1
125981,D015212,2015,2581,1
126129,D015212,2008,6774,1
129807,D015212,2015,2581,1
130367,D015212,2015,2581,1
130399,D015212,2010,4088,1
133121,D015212,2015,5321,1
138429,D015212,2017,5336,1
139189,D015212,2017,5336,1
142891,D015212,2015,5321,1
145226,D015212,2013,8854,1
148022,D015212,2016,7099,1
148327,D015212,2012,5579,1
150084,D015212,2014,9223,1
151056,D015212,2012,9415,1
151636,D015212,2015,4851,1
157506,D015212,2013,8854,1
160851,D015212,2017,5336,1
163688,D015212,2012,114,1
166929,D015212,2015,5321,1
195814,D015212,2013,8854,1
196403,D015212,2015,4851,1
196883,D015212,2012,5579,1
197322,D015212,2016,2194,1
200576,D015212,2017,5336,1
204219,D015212,2015,2581,1
221264,D015212,2012,114,1
246184,D015212,2017,51343,1
253782,D015212,2015,2581,1
254531,D015212,2015,5321,1
255043,D015212,2015,5321,1
255189,D015212,2011,2768,1
259230,D015212,2015,5321,1
283748,D015212,2011,2768,1
284161,D015212,2015,5321,1
284958,D015212,2008,144811,1
286151,D015212,2017,815,1
286204,D015212,2015,23418,1
317749,D015212,2013,8854,1
338324,D015212,2012,4790,1
338376,D015212,2012,4790,1
339221,D015212,2015,2581,1
340485,D015212,2015,2581,1
340665,D015212,2013,8854,1
353376,D015212,2016,7099,1
374654,D015212,2015,51684,1
375775,D015212,2015,5321,1
377841,D015212,2012,114,1
387521,D015212,2015,5321,1
387522,D015212,2015,5321,1
388112,D015212,2008,6774,1
388372,D015212,2012,4790,1
388585,D015212,2015,4851,1
391013,D015212,2012,9415,1
392288,D015212,2007,55054,1
399694,D015212,2012,3717,1
406881,D015212,2008,6774,1
406882,D015212,2008,6774,1
406883,D015212,2008,6774,1
406884,D015212,2008,6774,1
406885,D015212,2008,6774,1
406886,D015212,2008,6774,1
406887,D015212,2008,6774,1
406888,D015212,2008,6774,1
406889,D015212,2008,6774,1
406890,D015212,2008,6774,1
406891,D015212,2008,6774,1
406893,D015212,2017,5336,1
406894,D015212,2017,5336,1
406895,D015212,2012,5579,1
406896,D015212,2012,5579,1
406902,D015212,2012,5579,1
406903,D015212,2012,5579,1
406917,D015212,2012,5579,1
406918,D015212,2012,5579,1
406935,D015212,2010,1788,1
406937,D015212,2012,5579,1
406971,D015212,2012,5579,1
406991,D015212,2008,6774,1
407021,D015212,2010,1788,1
407024,D015212,2010,1788,1
407025,D015212,2010,1788,1
407026,D015212,2010,1788,1
407029,D015212,2012,5579,1
407030,D015212,2012,5579,1
407031,D015212,2012,5579,1
407032,D015212,2012,5579,1
407033,D015212,2012,5579,1
407034,D015212,2012,5579,1
407035,D015212,2016,5962,1
407040,D015212,2015,4851,1
407041,D015212,2015,4851,1
